"MSA","pcgmp","pop","finance","prof.tech","ict","management"
"Rapid City, SD",32020,118900,0.1917,0.03545,0.03072,0.004464
"Reno-Sparks, NV",42540,401100,0.1717,0.06617,0.01518,0.01952
"Riverside-San Bernardino-Ontario, CA",23680,3982000,0.2004,0.03945,NA,0.006553
"Roanoke, VA",35780,294200,0.1425,NA,0.03363,NA
"Rochester, MN",42520,178400,0.1015,0.02387,0.1255,NA
"Rochester, NY",37350,1033000,NA,0.0589,0.04946,NA
"Rockford, IL",30440,344600,0.1214,0.03317,NA,0.001716
"Sacramento-Arden-Arcade-Roseville, CA",38280,2056000,0.2515,0.06772,0.06014,0.007712
"St. Cloud, MN",33140,183300,0.1508,0.027,0.01087,0.005928
"St. George, UT",22510,127100,0.2097,0.04614,NA,0.001049
"St. Joseph, MO-KS",26620,124300,0.0961,NA,0.008462,NA
"San Angelo, TX",25220,107500,NA,NA,0.01622,NA
"San Antonio, TX",31750,1932000,0.168,NA,0.03042,NA
"San Diego-Carlsbad-San Marcos, CA",46710,2937000,0.2532,0.09811,NA,0.009462
"Sandusky, OH",34470,77410,0.09783,0.01912,0.006747,0.001124
"San Luis Obispo-Paso Robles, CA",32740,259700,0.225,0.05446,0.01717,0.004705
"Santa Barbara-Santa Maria-Goleta, CA",39840,400400,0.2112,0.08287,0.06933,0.01072
"Santa Cruz-Watsonville, CA",33670,249600,0.1907,0.06614,0.05829,0.03105
"Santa Rosa-Petaluma, CA",37380,461000,0.2277,0.07829,0.06024,0.005572
"Savannah, GA",32540,321200,0.1181,NA,0.01043,NA
"Seattle-Tacoma-Bellevue, WA",53520,3254000,0.2232,0.07246,0.112,0.01415
"Sebastian-Vero Beach, FL",28450,129300,0.2599,0.05791,NA,0.004078
"Sherman-Denison, TX",23700,116800,0.08992,0.02672,NA,0.0007223
"Shreveport-Bossier City, LA",38930,386900,0.08778,NA,0.00976,NA
"Sioux City, IA-NE-SD",34170,141700,0.1475,NA,0.01116,NA
"Sioux Falls, SD",50770,221500,NA,NA,0.03006,NA
"South Bend-Mishawaka, IN-MI",33030,315800,0.1406,NA,0.01591,NA
"Spokane, WA",31450,446900,0.1896,0.04731,NA,0.01259
"Springfield, MO",28620,410100,0.1568,0.0472,0.02326,0.01363
"Springfield, OH",22040,141000,0.1378,NA,0.008046,0.01738
"State College, PA",30390,143800,0.1346,0.07071,0.07597,0.00984
"Stockton, CA",23790,662400,0.1764,0.02849,NA,0.006472
"Sumter, SC",23810,104100,0.07385,0.02139,0.01211,0.005246
"Tampa-St. Petersburg-Clearwater, FL",35410,2687000,0.2213,0.07382,0.0516,0.01275
"Terre Haute, IN",25560,170000,0.08955,0.02486,0.04075,0.003453
"Texarkana, TX-Texarkana, AR",25030,133800,0.1066,NA,0.00597,NA
"Toledo, OH",34860,651800,0.1341,0.04344,0.01487,NA
"Trenton-Ewing, NJ",54460,363300,0.2157,0.1546,NA,0.02396
"Tyler, TX",32910,194300,0.1082,0.05176,NA,0.001876
"Utica-Rome, NY",24080,294000,0.1401,NA,0.04603,NA
"Valdosta, GA",24070,128300,0.1166,NA,0.004534,0.00421
